id,category,question,answer,source
1,Concept,"What is science?","Science is the systematic study of the natural world through observation and experimentation, aiming to uncover patterns and establish theories.","General Definition"
2,Concept,"How would you define science?","Science is a structured approach to understanding the universe through empirical evidence, logical reasoning, and experimental validation.","Educational Texts"
3,Concept,"Why is science important?","Science helps us understand the natural world, develop new technologies, and solve real-world problems through systematic inquiry.","Scientific Community"
4,Concept,"What are the key features of science?","Science is based on observation, experimentation, hypothesis testing, and logical reasoning.","Philosophy of Science"
5,Concept,"How does science evolve over time?","Scientific knowledge is constantly updated as new discoveries are made, experiments refine theories, and outdated ideas are replaced.","Modern Scientific Discourse"
6,Concept,"What are the different branches of science?","Science is broadly classified into Physical Science, Biological Science, Social Science, Formal Science, Applied Science, and Interdisciplinary Science.","General Science Classification"
7,Type,"What is Physical Science?","Physical science studies non-living systems, focusing on matter, energy, and the laws governing their interactions.","General Science Education"
8,Type,"Give an example of Physical Science.","Physics, chemistry, and astronomy are all examples of physical sciences that study fundamental natural laws.","Physics and Chemistry Departments"
9,Type,"What is Biological Science?","Biological science focuses on living organisms, their structure, function, growth, evolution, and interactions with their environment.","Life Sciences Curricula"
10,Type,"How is Biological Science used?","Biological science is applied in medicine, ecology, genetics, and biotechnology to understand and improve life processes.","Medical and Research Fields"
11,Type,"What is Social Science?","Social science examines human society, behavior, and institutions, using empirical methods to understand human interactions.","Social Research Methodologies"
12,Type,"Why is Social Science important?","Social science helps us understand cultural, economic, and political systems, shaping policies and improving societal structures.","Public Policy and Economics"
13,Type,"What is Formal Science?","Formal science studies abstract systems such as mathematics, logic, and computer science, which are independent of physical reality.","Mathematical and Logical Theories"
14,Type,"How does Formal Science contribute to other sciences?","It provides foundational tools for reasoning, calculations, and algorithms, which are crucial for all scientific disciplines.","Computational and Theoretical Sciences"
15,Type,"What is Applied Science?","Applied science translates scientific knowledge into practical applications, innovations, and technology.","Technology and Engineering Fields"
16,Type,"Give an example of Applied Science.","Medical devices, renewable energy solutions, and software development are examples of applied science.","Engineering and Industrial Research"
17,Type,"What is Interdisciplinary Science?","Interdisciplinary science combines multiple scientific disciplines to solve complex problems that do not fit into a single category.","Contemporary Research Initiatives"
18,Type,"Why is Interdisciplinary Science important?","It helps address global challenges like climate change, healthcare innovation, and space exploration by merging different scientific fields.","Environmental and Space Research"
19,Advanced,"What is Environmental Science?","Environmental science integrates biology, chemistry, and geosciences to study and address environmental issues.","Climate Science and Sustainability"
20,Advanced,"How does Environmental Science impact society?","It helps develop solutions for pollution control, conservation efforts, and climate change mitigation.","Green Technology and Conservation"
21,Advanced,"What is Cognitive Science?","Cognitive science explores human thought, learning, and intelligence, combining psychology, neuroscience, and AI research.","Neuroscience and AI Studies"
22,Advanced,"What is Astronomy?","Astronomy studies celestial bodies, the universe's structure, and cosmic phenomena using physics and mathematics.","Space Research and Astrophysics"
23,Advanced,"What is Quantum Physics?","Quantum physics is the study of the smallest particles in nature, explaining the behavior of energy and matter at atomic and subatomic levels.","Quantum Mechanics and Theoretical Physics"
24,Advanced,"How is Quantum Physics different from Classical Physics?","Unlike classical physics, quantum physics deals with probabilities, wave-particle duality, and non-deterministic behavior.","Modern Physics and Quantum Computing"
25,Advanced,"What is Artificial Intelligence?","Artificial Intelligence (AI) is a branch of computer science that focuses on creating intelligent machines that can simulate human cognition.","Machine Learning and Robotics"
